sample_id,label,file_path,video_frames,video_fps,sampled_frames,detected_frames,detection_rate,result,message
S001_01_002,ㄱ,S001/01_ㄱ/S001_01_002.mp4,122,30.0,12,12,1.0,ok,
S001_01_003,ㄱ,S001/01_ㄱ/S001_01_003.mp4,122,30.0,12,12,1.0,ok,
S001_01_004,ㄱ,S001/01_ㄱ/S001_01_004.mp4,121,30.0,12,12,1.0,ok,
S001_01_005,ㄱ,S001/01_ㄱ/S001_01_005.mp4,122,30.0,12,12,1.0,ok,
S001_01_006,ㄱ,S001/01_ㄱ/S001_01_006.mp4,122,30.0,12,12,1.0,ok,
S001_01_007,ㄱ,S001/01_ㄱ/S001_01_007.mp4,121,30.0,12,12,1.0,ok,
S001_01_008,ㄱ,S001/01_ㄱ/S001_01_008.mp4,122,30.0,12,12,1.0,ok,
S001_01_009,ㄱ,S001/01_ㄱ/S001_01_009.mp4,122,30.0,12,12,1.0,ok,
S001_01_010,ㄱ,S001/01_ㄱ/S001_01_010.mp4,122,30.0,12,12,1.0,ok,
S001_02_001,ㄴ,S001/02_ㄴ/S001_02_001.mp4,120,30.0,12,12,1.0,ok,
S001_02_002,ㄴ,S001/02_ㄴ/S001_02_002.mp4,121,30.0,12,12,1.0,ok,
S001_02_003,ㄴ,S001/02_ㄴ/S001_02_003.mp4,121,30.0,12,12,1.0,ok,
S001_02_004,ㄴ,S001/02_ㄴ/S001_02_004.mp4,121,30.0,12,12,1.0,ok,
S001_02_005,ㄴ,S001/02_ㄴ/S001_02_005.mp4,121,30.0,12,12,1.0,ok,
S001_02_006,ㄴ,S001/02_ㄴ/S001_02_006.mp4,122,30.0,12,12,1.0,ok,
S001_02_007,ㄴ,S001/02_ㄴ/S001_02_007.mp4,122,30.0,12,12,1.0,ok,
S001_02_008,ㄴ,S001/02_ㄴ/S001_02_008.mp4,122,30.0,12,12,1.0,ok,
S001_02_009,ㄴ,S001/02_ㄴ/S001_02_009.mp4,120,30.0,12,12,1.0,ok,
S001_02_010,ㄴ,S001/02_ㄴ/S001_02_010.mp4,121,30.0,12,12,1.0,ok,
S001_02_011,ㄴ,S001/02_ㄴ/S001_02_011.mp4,121,30.0,12,12,1.0,ok,
S001_02_012,ㄴ,S001/02_ㄴ/S001_02_012.mp4,122,30.0,12,12,1.0,ok,
S001_02_013,ㄴ,S001/02_ㄴ/S001_02_013.mp4,122,30.0,12,12,1.0,ok,
S001_02_014,ㄴ,S001/02_ㄴ/S001_02_014.mp4,121,30.0,12,12,1.0,ok,
S001_02_015,ㄴ,S001/02_ㄴ/S001_02_015.mp4,122,30.0,12,12,1.0,ok,
S001_02_016,ㄴ,S001/02_ㄴ/S001_02_016.mp4,122,30.0,12,12,1.0,ok,
S001_02_017,ㄴ,S001/02_ㄴ/S001_02_017.mp4,122,30.0,12,12,1.0,ok,
S001_02_018,ㄴ,S001/02_ㄴ/S001_02_018.mp4,122,30.0,12,12,1.0,ok,
S001_02_019,ㄴ,S001/02_ㄴ/S001_02_019.mp4,122,30.0,12,12,1.0,ok,
S001_03_001,ㄷ,S001/03_ㄷ/S001_03_001.mp4,116,30.0,12,12,1.0,ok,
S001_03_002,ㄷ,S001/03_ㄷ/S001_03_002.mp4,121,30.0,12,12,1.0,ok,
S001_03_003,ㄷ,S001/03_ㄷ/S001_03_003.mp4,122,30.0,12,12,1.0,ok,
S001_03_004,ㄷ,S001/03_ㄷ/S001_03_004.mp4,122,30.0,12,12,1.0,ok,
S001_03_005,ㄷ,S001/03_ㄷ/S001_03_005.mp4,121,30.0,12,12,1.0,ok,
S001_03_006,ㄷ,S001/03_ㄷ/S001_03_006.mp4,122,30.0,12,12,1.0,ok,
S001_03_007,ㄷ,S001/03_ㄷ/S001_03_007.mp4,122,30.0,12,12,1.0,ok,
S001_03_008,ㄷ,S001/03_ㄷ/S001_03_008.mp4,122,30.0,12,12,1.0,ok,
S001_03_009,ㄷ,S001/03_ㄷ/S001_03_009.mp4,122,30.0,12,12,1.0,ok,
S001_04_001,ㄹ,S001/04_ㄹ/S001_04_001.mp4,120,30.0,12,12,1.0,ok,
S001_04_002,ㄹ,S001/04_ㄹ/S001_04_002.mp4,122,30.0,12,12,1.0,ok,
S001_04_003,ㄹ,S001/04_ㄹ/S001_04_003.mp4,122,30.0,12,12,1.0,ok,
S001_04_004,ㄹ,S001/04_ㄹ/S001_04_004.mp4,122,30.0,12,12,1.0,ok,
S001_04_005,ㄹ,S001/04_ㄹ/S001_04_005.mp4,122,30.0,12,12,1.0,ok,
S001_04_006,ㄹ,S001/04_ㄹ/S001_04_006.mp4,122,30.0,12,12,1.0,ok,
S001_04_007,ㄹ,S001/04_ㄹ/S001_04_007.mp4,122,30.0,12,12,1.0,ok,
S001_04_008,ㄹ,S001/04_ㄹ/S001_04_008.mp4,122,30.0,12,12,1.0,ok,
S001_04_009,ㄹ,S001/04_ㄹ/S001_04_009.mp4,122,30.0,12,12,1.0,ok,
S001_04_010,ㄹ,S001/04_ㄹ/S001_04_010.mp4,122,30.0,12,12,1.0,ok,
S001_05_001,ㅁ,S001/05_ㅁ/S001_05_001.mp4,120,30.0,12,12,1.0,ok,
S001_05_002,ㅁ,S001/05_ㅁ/S001_05_002.mp4,122,30.0,12,12,1.0,ok,
S001_05_003,ㅁ,S001/05_ㅁ/S001_05_003.mp4,122,30.0,12,11,0.9167,ok,
