split,sample_id,signer_id,label,take,frames
train,S003_20260818_154538_01_003,S003,ㄱ,3,12
train,S004_20260820_184432_01_006,S004,ㄱ,6,12
train,S004_20260820_184432_01_007,S004,ㄱ,7,12
train,S001_01_008,S001,ㄱ,8,12
train,S002_20260817_225500_01_002,S002,ㄱ,2,9
train,S002_20260817_225500_01_007,S002,ㄱ,7,12
train,S003_20260818_154538_01_008,S003,ㄱ,8,11
train,S004_20260820_184432_01_009,S004,ㄱ,9,12
train,S001_01_009,S001,ㄱ,9,12
train,S002_20260817_225500_01_009,S002,ㄱ,9,11
train,S004_20260820_184432_01_003,S004,ㄱ,3,12
train,S001_01_004,S001,ㄱ,4,12
train,S001_01_006,S001,ㄱ,6,12
train,S002_20260817_225500_01_008,S002,ㄱ,8,12
train,S002_20260817_225500_01_005,S002,ㄱ,5,11
train,S004_20260820_184432_01_010,S004,ㄱ,10,12
train,S004_20260820_184432_01_002,S004,ㄱ,2,12
train,S003_20260818_154538_01_007,S003,ㄱ,7,11
train,S002_20260817_225500_01_001,S002,ㄱ,1,11
train,S002_20260817_225500_01_010,S002,ㄱ,10,11
train,S003_20260818_154538_01_004,S003,ㄱ,4,11
train,S004_20260820_184432_01_005,S004,ㄱ,5,12
train,S004_20260820_184432_01_001,S004,ㄱ,1,12
train,S001_01_010,S001,ㄱ,10,12
train,S004_20260820_184432_01_008,S004,ㄱ,8,12
train,S003_20260818_154538_01_006,S003,ㄱ,6,9
train,S001_01_002,S001,ㄱ,2,12
train,S001_01_007,S001,ㄱ,7,12
train,S002_20260817_225500_01_003,S002,ㄱ,3,12
train,S004_20260820_184432_01_004,S004,ㄱ,4,12
train,S001_01_005,S001,ㄱ,5,12
train,S003_20260818_154538_01_005,S003,ㄱ,5,11
train,S003_20260818_154538_01_001,S003,ㄱ,1,11
train,S001_01_003,S001,ㄱ,3,12
train,S001_02_017,S001,ㄴ,17,12
train,S001_02_001,S001,ㄴ,1,12
train,S004_20260820_184432_02_004,S004,ㄴ,4,12
train,S001_02_003,S001,ㄴ,3,12
train,S004_20260820_184432_02_010,S004,ㄴ,10,12
train,S001_02_008,S001,ㄴ,8,12
train,S003_20260818_154538_02_008,S003,ㄴ,8,11
train,S002_20260817_225500_02_007,S002,ㄴ,7,12
