split,sample_id,signer_id,label,take,frames
train,S001_01_009,S001,ㄱ,9,12
train,S001_01_006,S001,ㄱ,6,12
train,S001_01_007,S001,ㄱ,7,12
train,S001_01_010,S001,ㄱ,10,12
train,S001_01_005,S001,ㄱ,5,12
train,S001_01_001,S001,ㄱ,1,12
train,S001_01_002,S001,ㄱ,2,12
train,S001_02_008,S001,ㄴ,8,12
train,S001_02_005,S001,ㄴ,5,12
train,S001_02_007,S001,ㄴ,7,12
train,S001_02_006,S001,ㄴ,6,12
train,S001_02_013,S001,ㄴ,13,12
train,S001_02_012,S001,ㄴ,12,12
train,S001_02_016,S001,ㄴ,16,12
train,S001_02_010,S001,ㄴ,10,12
train,S001_02_009,S001,ㄴ,9,12
train,S001_02_018,S001,ㄴ,18,12
train,S001_02_004,S001,ㄴ,4,12
train,S001_02_017,S001,ㄴ,17,12
train,S001_02_001,S001,ㄴ,1,12
train,S001_02_002,S001,ㄴ,2,12
train,S001_02_014,S001,ㄴ,14,12
train,S001_02_019,S001,ㄴ,19,12
train,S001_03_003,S001,ㄷ,3,12
train,S001_03_004,S001,ㄷ,4,12
train,S001_03_002,S001,ㄷ,2,12
train,S001_03_007,S001,ㄷ,7,12
train,S001_03_001,S001,ㄷ,1,12
train,S001_03_005,S001,ㄷ,5,12
train,S001_04_003,S001,ㄹ,3,12
train,S001_04_007,S001,ㄹ,7,12
train,S001_04_010,S001,ㄹ,10,12
train,S001_04_001,S001,ㄹ,1,12
train,S001_04_002,S001,ㄹ,2,12
train,S001_04_006,S001,ㄹ,6,12
train,S001_04_004,S001,ㄹ,4,12
train,S001_05_003,S001,ㅁ,3,11
train,S001_05_005,S001,ㅁ,5,12
train,S001_05_011,S001,ㅁ,11,12
train,S001_05_004,S001,ㅁ,4,12
train,S001_05_002,S001,ㅁ,2,12
train,S001_05_009,S001,ㅁ,9,11
train,S001_05_008,S001,ㅁ,8,12
train,S001_05_001,S001,ㅁ,1,12
train,S001_06_003,S001,ㅂ,3,12
train,S001_06_008,S001,ㅂ,8,12
train,S001_06_006,S001,ㅂ,6,12
train,S001_06_001,S001,ㅂ,1,12
train,S001_06_002,S001,ㅂ,2,12
train,S001_06_004,S001,ㅂ,4,12
train,S001_06_010,S001,ㅂ,10,12
train,S001_07_011,S001,ㅅ,11,9
train,S001_07_010,S001,ㅅ,10,12
train,S001_07_004,S001,ㅅ,4,12
train,S001_07_003,S001,ㅅ,3,11
train,S001_07_009,S001,ㅅ,9,11
train,S001_07_002,S001,ㅅ,2,6
train,S001_08_007,S001,ㅇ,7,12
train,S001_08_008,S001,ㅇ,8,11
train,S001_08_006,S001,ㅇ,6,12
train,S001_08_009,S001,ㅇ,9,12
train,S001_08_002,S001,ㅇ,2,10
train,S001_08_005,S001,ㅇ,5,9
train,S001_08_004,S001,ㅇ,4,12
train,S001_09_002,S001,ㅈ,2,6
train,S001_09_001,S001,ㅈ,1,8
train,S001_09_003,S001,ㅈ,3,12
train,S001_09_006,S001,ㅈ,6,12
train,S001_09_004,S001,ㅈ,4,10
train,S001_09_005,S001,ㅈ,5,6
train,S001_09_007,S001,ㅈ,7,8
train,S001_10_003,S001,ㅊ,3,9
train,S001_10_008,S001,ㅊ,8,12
train,S001_10_002,S001,ㅊ,2,12
train,S001_10_001,S001,ㅊ,1,10
train,S001_10_005,S001,ㅊ,5,10
train,S001_10_007,S001,ㅊ,7,10
train,S001_11_005,S001,ㅋ,5,12
train,S001_11_009,S001,ㅋ,9,12
train,S001_11_003,S001,ㅋ,3,12
train,S001_11_002,S001,ㅋ,2,12
train,S001_11_008,S001,ㅋ,8,12
train,S001_11_007,S001,ㅋ,7,12
train,S001_12_004,S001,ㅌ,4,12
train,S001_12_005,S001,ㅌ,5,12
train,S001_12_009,S001,ㅌ,9,12
train,S001_12_002,S001,ㅌ,2,12
train,S001_12_006,S001,ㅌ,6,11
train,S001_12_011,S001,ㅌ,11,12
train,S001_12_007,S001,ㅌ,7,11
train,S001_12_010,S001,ㅌ,10,12
train,S001_13_001,S001,ㅍ,1,12
train,S001_13_004,S001,ㅍ,4,12
train,S001_13_006,S001,ㅍ,6,12
train,S001_13_007,S001,ㅍ,7,12
train,S001_13_009,S001,ㅍ,9,12
train,S001_13_003,S001,ㅍ,3,12
train,S001_13_002,S001,ㅍ,2,12
train,S001_14_003,S001,ㅎ,3,12
train,S001_14_006,S001,ㅎ,6,9
train,S001_14_001,S001,ㅎ,1,12
train,S001_14_009,S001,ㅎ,9,12
train,S001_14_005,S001,ㅎ,5,12
train,S001_14_008,S001,ㅎ,8,11
train,S001_14_010,S001,ㅎ,10,12
train,S001_20_011,S001,ㅏ,11,12
train,S001_20_008,S001,ㅏ,8,12
train,S001_20_001,S001,ㅏ,1,12
train,S001_20_004,S001,ㅏ,4,12
train,S001_20_003,S001,ㅏ,3,12
train,S001_20_007,S001,ㅏ,7,12
train,S001_20_005,S001,ㅏ,5,12
train,S001_20_002,S001,ㅏ,2,12
train,S001_21_001,S001,ㅑ,1,12
train,S001_21_007,S001,ㅑ,7,12
train,S001_21_003,S001,ㅑ,3,12
train,S001_21_002,S001,ㅑ,2,12
train,S001_21_004,S001,ㅑ,4,12
train,S001_21_009,S001,ㅑ,9,12
train,S001_21_005,S001,ㅑ,5,12
train,S001_21_011,S001,ㅑ,11,12
train,S001_22_009,S001,ㅓ,9,12
train,S001_22_010,S001,ㅓ,10,12
train,S001_22_007,S001,ㅓ,7,12
train,S001_22_003,S001,ㅓ,3,12
train,S001_22_002,S001,ㅓ,2,12
train,S001_22_001,S001,ㅓ,1,12
train,S001_22_008,S001,ㅓ,8,12
train,S001_23_007,S001,ㅕ,7,12
train,S001_23_004,S001,ㅕ,4,12
train,S001_23_006,S001,ㅕ,6,12
train,S001_23_009,S001,ㅕ,9,12
train,S001_23_003,S001,ㅕ,3,12
train,S001_23_011,S001,ㅕ,11,12
train,S001_23_008,S001,ㅕ,8,12
train,S001_23_002,S001,ㅕ,2,12
train,S001_24_007,S001,ㅗ,7,12
train,S001_24_003,S001,ㅗ,3,12
train,S001_24_006,S001,ㅗ,6,12
train,S001_24_010,S001,ㅗ,10,12
train,S001_24_005,S001,ㅗ,5,12
train,S001_24_011,S001,ㅗ,11,12
train,S001_24_009,S001,ㅗ,9,12
train,S001_24_004,S001,ㅗ,4,12
train,S001_25_010,S001,ㅛ,10,12
train,S001_25_007,S001,ㅛ,7,12
train,S001_25_003,S001,ㅛ,3,12
train,S001_25_001,S001,ㅛ,1,12
train,S001_25_009,S001,ㅛ,9,12
train,S001_25_004,S001,ㅛ,4,12
train,S001_25_002,S001,ㅛ,2,12
train,S001_26_006,S001,ㅜ,6,12
train,S001_26_003,S001,ㅜ,3,12
train,S001_26_007,S001,ㅜ,7,12
train,S001_26_009,S001,ㅜ,9,10
train,S001_26_004,S001,ㅜ,4,12
train,S001_26_011,S001,ㅜ,11,11
train,S001_26_002,S001,ㅜ,2,12
train,S001_26_001,S001,ㅜ,1,12
train,S001_27_009,S001,ㅠ,9,12
train,S001_27_007,S001,ㅠ,7,12
train,S001_27_011,S001,ㅠ,11,12
train,S001_27_006,S001,ㅠ,6,12
train,S001_27_003,S001,ㅠ,3,12
train,S001_27_004,S001,ㅠ,4,12
train,S001_27_008,S001,ㅠ,8,12
train,S001_27_005,S001,ㅠ,5,12
train,S001_28_003,S001,ㅡ,3,12
train,S001_28_009,S001,ㅡ,9,12
train,S001_28_006,S001,ㅡ,6,12
train,S001_28_001,S001,ㅡ,1,12
train,S001_28_002,S001,ㅡ,2,12
train,S001_28_004,S001,ㅡ,4,12
train,S001_28_007,S001,ㅡ,7,12
train,S001_29_011,S001,ㅣ,11,12
train,S001_29_003,S001,ㅣ,3,12
train,S001_29_006,S001,ㅣ,6,12
train,S001_29_004,S001,ㅣ,4,12
train,S001_29_010,S001,ㅣ,10,12
train,S001_29_002,S001,ㅣ,2,12
train,S001_29_001,S001,ㅣ,1,12
train,S001_29_008,S001,ㅣ,8,12
train,S001_30_007,S001,ㅐ,7,12
train,S001_30_010,S001,ㅐ,10,12
train,S001_30_002,S001,ㅐ,2,12
train,S001_30_011,S001,ㅐ,11,12
train,S001_30_003,S001,ㅐ,3,12
train,S001_30_008,S001,ㅐ,8,12
train,S001_30_009,S001,ㅐ,9,12
train,S001_30_004,S001,ㅐ,4,12
train,S001_31_004,S001,ㅒ,4,12
train,S001_31_006,S001,ㅒ,6,12
train,S001_31_010,S001,ㅒ,10,12
train,S001_31_012,S001,ㅒ,12,12
train,S001_31_011,S001,ㅒ,11,12
train,S001_31_001,S001,ㅒ,1,12
train,S001_31_002,S001,ㅒ,2,12
train,S001_31_009,S001,ㅒ,9,12
train,S001_31_008,S001,ㅒ,8,12
train,S001_32_006,S001,ㅔ,6,12
train,S001_32_009,S001,ㅔ,9,12
train,S001_32_012,S001,ㅔ,12,12
train,S001_32_010,S001,ㅔ,10,12
train,S001_32_011,S001,ㅔ,11,12
train,S001_32_003,S001,ㅔ,3,12
train,S001_32_001,S001,ㅔ,1,12
train,S001_32_007,S001,ㅔ,7,12
train,S001_32_004,S001,ㅔ,4,12
train,S001_33_005,S001,ㅖ,5,12
train,S001_33_001,S001,ㅖ,1,12
train,S001_33_002,S001,ㅖ,2,12
train,S001_33_011,S001,ㅖ,11,12
train,S001_33_004,S001,ㅖ,4,12
train,S001_33_003,S001,ㅖ,3,12
train,S001_33_008,S001,ㅖ,8,12
train,S001_33_009,S001,ㅖ,9,12
train,S001_33_013,S001,ㅖ,13,12
train,S001_33_012,S001,ㅖ,12,12
train,S001_34_002,S001,ㅢ,2,12
train,S001_34_007,S001,ㅢ,7,12
train,S001_34_005,S001,ㅢ,5,12
train,S001_34_011,S001,ㅢ,11,12
train,S001_34_003,S001,ㅢ,3,12
train,S001_34_008,S001,ㅢ,8,12
train,S001_34_010,S001,ㅢ,10,12
train,S001_34_012,S001,ㅢ,12,12
train,S001_34_001,S001,ㅢ,1,12
train,S001_35_006,S001,ㅚ,6,12
train,S001_35_001,S001,ㅚ,1,12
train,S001_35_010,S001,ㅚ,10,12
train,S001_35_005,S001,ㅚ,5,12
train,S001_35_012,S001,ㅚ,12,12
train,S001_35_002,S001,ㅚ,2,12
train,S001_35_007,S001,ㅚ,7,12
train,S001_35_004,S001,ㅚ,4,12
train,S001_35_011,S001,ㅚ,11,12
train,S001_36_007,S001,ㅟ,7,12
train,S001_36_002,S001,ㅟ,2,10
train,S001_36_008,S001,ㅟ,8,12
